,fluxes,minimum,maximum
GLYCOGENSYN_RXN_p_gc_1,0.0,,
GLYCOGENSYN_RXN_p_gc_2,0.0,,
GLYCOGENSYN_RXN_p_gc_3,0.0,,
GLYCOGENSYN_RXN_p_gc_4,0.0,,
NITRATE_vc_me_1,0.0,,
NITRATE_vc_me_2,0.0,,
NITRATE_vc_me_3,0.0,,
NITRATE_vc_me_4,0.0,,
NITRATE_vc_gc_1,0.0,,
NITRATE_vc_gc_2,0.0,,
NITRATE_vc_gc_3,0.0,,
NITRATE_vc_gc_4,0.0,,
RXN_1841_v_me_1,0.0,,
RXN_1841_v_me_2,0.0,,
RXN_1841_v_me_3,0.0,,
RXN_1841_v_me_4,0.0,,
RXN_1841_v_gc_1,0.0,,
RXN_1841_v_gc_2,0.0,,
RXN_1841_v_gc_3,0.0,,
RXN_1841_v_gc_4,0.0,,
ALANINE_AMINOTRANSFERASE_RXN_x_me_1,0.0,,
ALANINE_AMINOTRANSFERASE_RXN_x_me_2,0.0,,
ALANINE_AMINOTRANSFERASE_RXN_x_me_3,0.0,,
ALANINE_AMINOTRANSFERASE_RXN_x_me_4,0.0,,
ALANINE_AMINOTRANSFERASE_RXN_x_gc_1,0.0,,
ALANINE_AMINOTRANSFERASE_RXN_x_gc_2,0.0,,
ALANINE_AMINOTRANSFERASE_RXN_x_gc_3,0.0,,
ALANINE_AMINOTRANSFERASE_RXN_x_gc_4,0.0,,
MALSYN_RXN_x_me_1,0.0,,
MALSYN_RXN_x_me_2,0.0,,
MALSYN_RXN_x_me_3,0.0,,
MALSYN_RXN_x_me_4,0.0,,
MALSYN_RXN_x_gc_1,0.0,,
MALSYN_RXN_x_gc_2,0.0,,
MALSYN_RXN_x_gc_3,0.0,,
MALSYN_RXN_x_gc_4,0.0,,
MYO_INOSITOL_1OR_4_MONOPHOSPHATASE_RXN_c_me_1,0.0,,
MYO_INOSITOL_1OR_4_MONOPHOSPHATASE_RXN_c_me_2,0.0,,
MYO_INOSITOL_1OR_4_MONOPHOSPHATASE_RXN_c_me_3,0.0,,
